Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  05:20:00,,,,17.29503963,1.918783072
 01/21  05:25:00,,,,16.23401643,1.918783072
 01/21  05:30:00,8.649323486,15.48800537,30,16.53692168,1.918783072
 01/21  05:45:00,8.649323486,15.59275118,30,16.53522582,1.918783072
 01/21  05:48:45,,,,14.41641369,0
 01/21  05:52:30,,,,14.23091532,0
 01/21  05:56:15,,,,14.02578681,0
 01/21  06:00:00,8.649323486,14.68289659,30,13.84075515,0
 01/21  06:05:00,,,,17.19988998,1.918783072
 01/21  06:10:00,,,,16.13943676,1.918783072
 01/21  06:15:00,8.649323486,15.48722082,16,16.43999716,1.918783072
 01/21  06:22:30,,,,17.00986853,1.918783072
 01/21  06:30:00,8.649323486,15.57754448,16,16.54191272,1.918783072
 01/21  06:45:00,8.649323486,15.59583585,16,16.85736751,1.918783072
 01/21  07:00:00,8.649323486,15.59835301,16,16.76164117,1.918783072
 01/21  07:15:00,8.649323486,15.59935382,16,16.7402238,1.918783072
 01/21  07:30:00,8.649323486,15.59975142,16,16.7213234,1.918783072
 01/21  07:45:00,8.649323486,15.59991648,16,16.70980484,1.918783072
 01/21  08:00:00,8.649323486,15.59998586,16,16.70083862,1.918783072
 01/21  08:15:00,8.649323486,15.60001266,16,16.69351767,1.918783072
 01/21  08:30:00,8.649323486,15.60002229,16,16.68496112,1.918783072
 01/21  08:45:00,8.649323486,15.60003261,16,16.68000866,1.918783072
 01/21  09:00:00,8.649323486,15.60004027,16,16.67567997,1.918783072
 01/21  09:15:00,8.649323486,15.60004254,16,16.67188133,1.918783072
 01/21  09:30:00,8.649323486,15.60004247,16,16.66443407,1.918783072
 01/21  09:45:00,8.649323486,15.6000519,16,16.66142329,1.918783072
 01/21  10:00:00,8.649323486,15.60006043,16,16.65867797,1.918783072
 01/21  10:15:00,8.649323486,15.60006229,16,16.65615022,1.918783072
 01/21  10:30:00,8.649323486,15.60006144,16,16.65516486,1.918783072
 01/21  10:45:00,8.649323486,15.60005913,16,16.65297184,1.918783072
 01/21  11:00:00,8.649323486,15.60005903,16,16.65091513,1.918783072
 01/21  11:15:00,8.649323486,15.60006136,16,16.64897318,1.918783072
 01/21  11:30:00,8.649323486,15.600064,16,16.64441088,1.918783072
 01/21  11:45:00,8.649323486,15.60007161,16,16.64266071,1.918783072
 01/21  12:00:00,8.649323486,15.60007731,16,16.64097739,1.918783072
 01/21  12:15:00,8.649323486,15.60007835,16,16.63935668,1.918783072
 01/21  12:30:00,8.649323486,15.60007778,16,16.63983495,1.918783072
 01/21  12:45:00,8.649323486,15.60007387,16,16.6383256,1.918783072
 01/21  13:00:00,8.649323486,15.60007189,16,16.63687636,1.918783072
 01/21  13:15:00,8.649323486,15.60007336,16,16.63559361,1.918783072
 01/21  13:30:00,8.649323486,15.60007574,16,16.63501688,1.918783072
 01/21  13:45:00,8.649323486,15.60007569,16,16.6338985,1.918783072
 01/21  14:00:00,8.649323486,15.60007505,16,16.6327081,1.918783072
 01/21  14:15:00,8.649323486,15.60007533,16,16.63164999,1.918783072
 01/21  14:30:00,8.649323486,15.6000761,16,16.63291983,1.918783072
 01/21  14:45:00,8.649323486,15.6000708,16,16.63170714,1.918783072
 01/21  15:00:00,8.649323486,15.60006638,16,16.63066729,1.918783072
 01/21  15:15:00,8.649323486,15.60006634,16,16.62966672,1.918783072
 01/21  15:30:00,8.649323486,15.60006795,16,16.63001117,1.918783072
 01/21  15:45:00,8.649323486,15.60006558,16,16.62903735,1.918783072
 01/21  16:00:00,8.649323486,15.6000627,16,16.62808586,1.918783072
 01/21  16:15:00,8.649323486,15.60006187,16,16.6271591,1.918783072
 01/21  16:30:00,8.649323486,15.60006204,16,16.62560572,1.918783072
 01/21  16:45:00,8.649323486,15.60006323,16,16.62463042,1.918783072
 01/21  17:00:00,8.649323486,15.60006355,16,16.62360646,1.918783072
 01/21  17:15:00,8.649323486,15.60006269,16,16.6227029,1.918783072
 01/21  17:30:00,8.649323486,15.60006164,16,16.62657479,1.918783072
 01/21  17:45:00,8.649323486,15.60005086,16,16.6257499,1.918783072
 01/21  18:00:00,8.649323486,15.60004256,16,16.62495186,1.918783072
 01/21  18:05:00,,,,14.64823758,0
 01/21  18:10:00,,,,14.45682173,0
 01/21  18:15:00,8.649323486,15.12088959,16,18.2219004,1.918783072
 01/21  18:22:30,,,,16.79724016,1.918783072
 01/21  18:30:00,8.649323486,15.50055285,16,16.62762506,1.918783072
 01/21  18:35:00,,,,14.42051861,0
 01/21  18:40:00,,,,14.23312329,0
 01/21  18:45:00,8.649323486,14.7106493,16,14.02696715,0
 01/21  18:50:00,,,,18.55406846,1.918783072
 01/21  18:55:00,,,,15.27892162,1.918783072
 01/21  19:00:00,8.649323486,15.49075779,16,16.71130973,1.918783072
 01/21  19:15:00,8.649323486,15.59285436,16,16.44322433,1.918783072
 01/21  19:20:00,,,,14.39732369,0
 01/21  19:25:00,,,,14.17973969,0
 01/21  19:30:00,8.649323486,14.74626977,16,13.96443717,0
 01/21  19:35:00,,,,18.68688378,1.918783072
 01/21  19:40:00,,,,15.2760741,1.918783072
 01/21  19:45:00,8.649323486,15.49585165,16,16.77951771,1.918783072
 01/21  20:00:00,8.649323486,15.59324903,16,16.48009053,1.918783072
 01/21  20:03:45,,,,14.36539886,0
 01/21  20:07:30,,,,14.18989427,0
 01/21  20:11:15,,,,14.00672263,0
 01/21  20:15:00,8.649323486,14.72434684,16,13.83781953,0
 01/21  20:20:00,,,,17.23373055,1.918783072
 01/21  20:25:00,,,,16.21862724,1.918783072
 01/21  20:30:00,8.649323486,15.49302044,16,16.50899229,1.918783072
 01/21  20:45:00,8.649323486,15.59306199,16,16.49038543,1.918783072
 01/21  20:48:45,,,,14.43148076,0
 01/21  20:52:30,,,,14.24704057,0
 01/21  20:56:15,,,,14.04488329,0
 01/21  21:00:00,8.649323486,14.7163977,16,13.86200171,0
 01/21  21:05:00,,,,17.24687393,1.918783072
 01/21  21:10:00,,,,16.22232643,1.918783072
 01/21  21:15:00,8.649323486,15.49206448,16,16.5154685,1.918783072
 01/21  21:30:00,8.649323486,15.59300578,16,16.49662063,1.918783072
 01/21  21:33:45,,,,14.43367127,0
 01/21  21:37:30,,,,14.24988864,0
 01/21  21:41:15,,,,14.04640362,0
 01/21  21:45:00,8.649323486,14.7114223,16,13.86271575,0
 01/21  21:50:00,,,,17.25524135,1.918783072
 01/21  21:55:00,,,,16.22487764,1.918783072
 01/21  22:00:00,8.649323486,15.49145312,16,16.51966913,1.918783072
 01/21  22:15:00,8.649323486,15.59296868,30,16.50202675,1.918783072
 01/21  22:18:45,,,,14.43199313,0
 01/21  22:22:30,,,,14.24812798,0
 01/21  22:26:15,,,,14.04436992,0
 01/21  22:30:00,8.649323486,14.70737981,30,13.86048341,0
 01/21  22:35:00,,,,17.26154175,1.918783072
 01/21  22:40:00,,,,16.22651722,1.918783072
 01/21  22:45:00,8.649323486,15.49094289,30,16.52257742,1.918783072
 01/21  23:00:00,8.649323486,15.59293663,30,16.5067864,1.918783072
 01/21  23:03:45,,,,14.42994744,0
 01/21  23:07:30,,,,14.24588257,0
 01/21  23:11:15,,,,14.04192932,0
 01/21  23:15:00,8.649323486,14.70385459,30,13.8578834,0
 01/21  23:20:00,,,,17.26685247,1.918783072
 01/21  23:25:00,,,,16.22778687,1.918783072
 01/21  23:30:00,8.649323486,15.49049284,30,16.52492738,1.918783072
 01/21  23:45:00,8.649323486,15.5929081,30,16.51107923,1.918783072
 01/21  23:48:45,,,,14.42795672,0
 01/21  23:52:30,,,,14.24368494,0
 01/21  23:56:15,,,,14.03955782,0
 01/21  24:00:00,8.649323486,14.70068287,30,13.85536653,0
 07/21  00:01:30,,,,24.28857738,0
 07/21  00:03:00,,,,24.31424216,0
 07/21  00:04:30,,,,24.38408681,0
 07/21  00:06:00,,,,24.45424266,0
 07/21  00:07:30,,,,24.51916081,0
 07/21  00:09:00,,,,24.57791266,0
 07/21  00:10:30,,,,13.47110874,1.918783072
 07/21  00:12:00,,,,12.65085892,1.918783072
 07/21  00:13:30,,,,12.79961194,1.918783072
 07/21  00:15:00,27.55482349,22.80134021,30,12.79968676,1.918783072
 07/21  00:16:15,,,,12.79975075,1.918783072
 07/21  00:17:30,,,,12.79972795,1.918783072
 07/21  00:18:45,,,,12.79973122,1.918783072
 07/21  00:20:00,,,,12.79974728,1.918783072
 07/21  00:21:15,,,,12.7997709,1.918783072
 07/21  00:22:30,,,,12.79979679,1.918783072
 07/21  00:23:45,,,,12.79982093,1.918783072
 07/21  00:25:00,,,,12.79984153,1.918783072
 07/21  00:26:15,,,,12.79985836,1.918783072
 07/21  00:27:30,,,,12.79987187,1.918783072
 07/21  00:28:45,,,,12.79988268,1.918783072
 07/21  00:30:00,27.45432349,19.22168677,30,12.79989132,1.918783072
 07/21  00:31:40,,,,24.08343237,0
 07/21  00:33:19,,,,24.1846033,0
 07/21  00:35:00,,,,24.28036283,0
 07/21  00:36:40,,,,24.38126341,0
 07/21  00:38:19,,,,24.46642449,0
 07/21  00:40:00,,,,24.5334103,0
 07/21  00:41:40,,,,24.58601539,0
 07/21  00:43:19,,,,24.62821791,0
 07/21  00:45:00,27.35382349,21.78390658,30,24.66269251,0
 07/21  00:46:40,,,,24.49045168,0
 07/21  00:48:19,,,,24.72440638,0
 07/21  00:50:00,,,,24.75967865,0
 07/21  00:51:40,,,,24.79310673,0
 07/21  00:53:19,,,,24.82305534,0
 07/21  00:55:00,,,,24.84940634,0
 07/21  00:56:40,,,,24.87258827,0
 07/21  00:58:19,,,,24.89307118,0
 07/21  01:00:00,27.25332349,23.45920674,30,24.9112279,0
 07/21  01:03:00,,,,24.83932045,0
 07/21  01:06:00,,,,24.85253627,0
 07/21  01:09:00,,,,24.93320186,0
 07/21  01:12:00,,,,13.36411889,1.918783072
 07/21  01:15:00,27.18632349,22.56534233,30,12.7568366,1.918783072
 07/21  01:16:21,,,,12.81370926,1.918783072
 07/21  01:17:43,,,,12.7852633,1.918783072
 07/21  01:19:05,,,,12.7997817,1.918783072
 07/21  01:20:27,,,,12.79980384,1.918783072
 07/21  01:21:49,,,,12.79982638,1.918783072
 07/21  01:23:10,,,,12.79984932,1.918783072
 07/21  01:24:32,,,,12.79986937,1.918783072
 07/21  01:25:54,,,,12.79988539,1.918783072
 07/21  01:27:16,,,,12.79989763,1.918783072
 07/21  01:28:38,,,,12.79990679,1.918783072
 07/21  01:30:00,27.11932349,19.2097039,30,12.79991359,1.918783072
 07/21  01:32:08,,,,24.33127096,0
 07/21  01:34:17,,,,24.45959453,0
 07/21  01:36:25,,,,24.55949163,0
 07/21  01:38:34,,,,24.66460022,0
 07/21  01:40:42,,,,24.74897248,0
 07/21  01:42:51,,,,24.81062831,0
 07/21  01:45:00,27.05232349,21.86584785,30,24.85537379,0
 07/21  01:46:40,,,,24.71249902,0
 07/21  01:48:19,,,,24.72050695,0
 07/21  01:50:00,,,,24.77259894,0
 07/21  01:51:40,,,,24.82119214,0
 07/21  01:53:19,,,,24.86444857,0
 07/21  01:55:00,,,,24.9024852,0
 07/21  01:56:40,,,,24.93600232,0
 07/21  01:58:19,,,,24.96567269,0
 07/21  02:00:00,26.98532349,22.96346585,30,24.99201227,0
 07/21  02:01:08,,,,12.8540296,1.918783072
 07/21  02:02:18,,,,12.7465199,1.918783072
 07/21  02:03:27,,,,12.79980618,1.918783072
 07/21  02:04:37,,,,12.7998323,1.918783072
 07/21  02:05:46,,,,12.7998464,1.918783072
 07/21  02:06:55,,,,12.79986438,1.918783072
 07/21  02:08:04,,,,12.79988263,1.918783072
 07/21  02:09:13,,,,12.79989914,1.918783072
 07/21  02:10:22,,,,12.79991324,1.918783072
 07/21  02:11:32,,,,12.79992492,1.918783072
 07/21  02:12:41,,,,12.79993447,1.918783072
 07/21  02:13:51,,,,12.79994219,1.918783072
 07/21  02:15:00,26.93507349,18.42033415,30,12.7999484,1.918783072
 07/21  02:17:08,,,,12.79989757,1.918783072
 07/21  02:19:17,,,,12.7999065,1.918783072
 07/21  02:21:25,,,,12.79992807,1.918783072
 07/21  02:23:34,,,,12.79992695,1.918783072
 07/21  02:25:42,,,,12.79993794,1.918783072
 07/21  02:27:51,,,,12.79993952,1.918783072
 07/21  02:30:00,26.88482349,18.47094184,30,12.79993927,1.918783072
 07/21  02:31:21,,,,23.75941405,0
 07/21  02:32:43,,,,23.85775429,0
 07/21  02:34:05,,,,23.96984395,0
 07/21  02:35:27,,,,24.08823673,0
 07/21  02:36:49,,,,24.19235415,0
 07/21  02:38:10,,,,24.27908319,0
 07/21  02:39:32,,,,24.35137234,0
 07/21  02:40:54,,,,24.41257656,0
 07/21  02:42:16,,,,24.46501689,0
 07/21  02:43:38,,,,24.51016203,0
 07/21  02:45:00,26.83457349,21.43221869,30,24.54904174,0
 07/21  02:46:30,,,,24.29617586,0
 07/21  02:48:00,,,,24.30807815,0
 07/21  02:49:30,,,,24.37730146,0
 07/21  02:51:00,,,,24.44295936,0
 07/21  02:52:30,,,,24.5023205,0
 07/21  02:54:00,,,,24.55531733,0
 07/21  02:55:30,,,,24.60271973,0
 07/21  02:57:00,,,,24.64530251,0
 07/21  02:58:30,,,,24.683658,0
 07/21  03:00:00,26.78432349,22.66711348,30,24.71823618,0
 07/21  03:02:08,,,,24.55853019,0
 07/21  03:04:17,,,,24.5927584,0
 07/21  03:06:25,,,,24.67898239,0
 07/21  03:08:34,,,,24.76129135,0
 07/21  03:10:42,,,,24.83247435,0
 07/21  03:12:51,,,,13.43719547,1.918783072
 07/21  03:15:00,26.73407349,22.79643793,30,12.68422604,1.918783072
 07/21  03:16:21,,,,12.82563479,1.918783072
 07/21  03:17:43,,,,12.77434572,1.918783072
 07/21  03:19:05,,,,12.79984305,1.918783072
 07/21  03:20:27,,,,12.79986634,1.918783072
 07/21  03:21:49,,,,12.79987963,1.918783072
 07/21  03:23:10,,,,12.79989516,1.918783072
 07/21  03:24:32,,,,12.79990956,1.918783072
 07/21  03:25:54,,,,12.7999214,1.918783072
 07/21  03:27:16,,,,12.79993056,1.918783072
 07/21  03:28:38,,,,12.79993744,1.918783072
 07/21  03:30:00,26.68382349,19.25793126,30,12.79994256,1.918783072
 07/21  03:31:30,,,,24.28191897,0
 07/21  03:33:00,,,,24.37204845,0
 07/21  03:34:30,,,,24.45540471,0
 07/21  03:36:00,,,,24.5450424,0
 07/21  03:37:30,,,,24.62223142,0
 07/21  03:39:00,,,,24.68433111,0
 07/21  03:40:30,,,,24.73424652,0
 07/21  03:42:00,,,,24.77517702,0
 07/21  03:43:30,,,,24.80929131,0
 07/21  03:45:00,26.63357349,21.93849074,30,24.83791991,0
 07/21  03:46:40,,,,24.66976534,0
 07/21  03:48:19,,,,24.67984023,0
 07/21  03:50:00,,,,24.73568353,0
 07/21  03:51:40,,,,24.78790608,0
 07/21  03:53:19,,,,24.83424018,0
 07/21  03:55:00,,,,24.87477428,0
 07/21  03:56:40,,,,24.91031057,0
 07/21  03:58:19,,,,13.47077636,1.918783072
 07/21  04:00:00,26.58332349,22.56416347,30,12.64971997,1.918783072
 07/21  04:01:21,,,,12.81307389,1.918783072
 07/21  04:02:43,,,,12.78619749,1.918783072
 07/21  04:04:05,,,,12.79986309,1.918783072
 07/21  04:05:26,,,,12.79988292,1.918783072
 07/21  04:06:49,,,,12.79989562,1.918783072
 07/21  04:08:10,,,,12.79990988,1.918783072
 07/21  04:09:33,,,,12.79992301,1.918783072
 07/21  04:10:54,,,,12.79993381,1.918783072
 07/21  04:12:16,,,,12.79994221,1.918783072
 07/21  04:13:38,,,,12.79994854,1.918783072
 07/21  04:15:00,26.54982349,19.16769415,30,12.79995326,1.918783072
 07/21  04:16:30,,,,24.25513671,0
 07/21  04:18:00,,,,24.34969645,0
 07/21  04:19:30,,,,24.43407667,0
 07/21  04:21:00,,,,24.52539636,0
 07/21  04:22:30,,,,24.60400773,0
 07/21  04:24:00,,,,24.66710265,0
 07/21  04:25:30,,,,24.71768707,0
 07/21  04:27:00,,,,24.75908155,0
 07/21  04:28:30,,,,24.79353104,0
 07/21  04:30:00,26.51632349,21.91050681,30,24.82240531,0
 07/21  04:31:40,,,,24.6519608,0
 07/21  04:33:19,,,,24.6619119,0
 07/21  04:35:00,,,,24.71850703,0
 07/21  04:36:40,,,,24.77138905,0
 07/21  04:38:19,,,,24.81831262,0
 07/21  04:40:00,,,,24.85937814,0
 07/21  04:41:40,,,,24.89539415,0
 07/21  04:43:19,,,,13.46878343,1.918783072
 07/21  04:45:00,26.48282349,22.55320038,30,12.6517368,1.918783072
 07/21  04:46:21,,,,12.82164319,1.918783072
 07/21  04:47:43,,,,12.77743402,1.918783072
 07/21  04:49:05,,,,12.79986958,1.918783072
 07/21  04:50:27,,,,12.79989195,1.918783072
 07/21  04:51:49,,,,12.79990394,1.918783072
 07/21  04:53:10,,,,12.79991753,1.918783072
 07/21  04:54:32,,,,12.79993001,1.918783072
 07/21  04:55:54,,,,12.79994025,1.918783072
 07/21  04:57:16,,,,12.79994816,1.918783072
 07/21  04:58:38,,,,12.7999541,1.918783072
 07/21  05:00:00,26.44932349,19.17839567,30,12.7999585,1.918783072
 07/21  05:01:30,,,,24.25054208,0
 07/21  05:03:00,,,,24.34474322,0
 07/21  05:04:30,,,,24.42955149,0
 07/21  05:06:00,,,,24.52118105,0
 07/21  05:07:30,,,,24.60005836,0
 07/21  05:09:00,,,,24.6633971,0
 07/21  05:10:30,,,,24.71420399,0
 07/21  05:12:00,,,,24.75579728,0
 07/21  05:13:30,,,,24.79042173,0
 07/21  05:15:00,26.48282349,21.93515312,30,24.81944884,0
 07/21  05:16:40,,,,12.96651891,1.918783072
 07/21  05:18:19,,,,12.64215782,1.918783072
 07/21  05:20:00,,,,12.75951234,1.918783072
 07/21  05:21:40,,,,12.7998748,1.918783072
 07/21  05:23:19,,,,12.7999072,1.918783072
 07/21  05:25:00,,,,12.79993455,1.918783072
 07/21  05:26:40,,,,12.79995126,1.918783072
 07/21  05:28:19,,,,12.79996365,1.918783072
 07/21  05:30:00,26.51632349,18.08421564,30,12.79917,1.918783072
 07/21  05:35:00,,,,12.79992639,1.918783072
 07/21  05:40:00,,,,12.79994356,1.918783072
 07/21  05:45:00,26.54982349,18.44598574,30,12.79996171,1.918783072
 07/21  05:46:21,,,,23.57779732,0
 07/21  05:47:43,,,,23.67677398,0
 07/21  05:49:05,,,,23.79448342,0
 07/21  05:50:27,,,,23.91813968,0
 07/21  05:51:49,,,,24.02701388,0
 07/21  05:53:10,,,,24.11799656,0
 07/21  05:54:32,,,,24.19408564,0
 07/21  05:55:54,,,,24.25868658,0
 07/21  05:57:16,,,,24.31416269,0
 07/21  05:58:38,,,,24.3620183,0
 07/21  06:00:00,26.58332349,21.50741536,30,24.40331475,0
 07/21  06:02:08,,,,12.94539051,1.918783072
 07/21  06:04:17,,,,12.69708882,1.918783072
 07/21  06:06:25,,,,12.66684941,1.918783072
 07/21  06:08:34,,,,12.79984572,1.918783072
 07/21  06:10:42,,,,12.79991259,1.918783072
 07/21  06:12:51,,,,12.82492223,1.918783072
 07/21  06:15:00,26.70057349,18.20513161,16,12.78187258,1.918783072
 07/21  06:17:30,,,,13.97486385,6.395943573
 07/21  06:20:00,,,,12.13278829,4.584019341
 07/21  06:22:30,,,,13.02434173,5.263936462
 07/21  06:25:00,,,,12.97920597,6.059477479
 07/21  06:27:30,,,,12.6108867,5.338657113
 07/21  06:30:00,26.81782349,16.36355595,16,12.92251292,5.845740919
 07/21  06:35:00,,,,12.98178065,5.829908392
 07/21  06:40:00,,,,12.49605242,4.308405635
 07/21  06:45:00,26.93507349,16.09084716,16,13.14280248,5.963995571
 07/21  07:00:00,27.05232349,16.01977594,16,12.52048946,4.68198442
 07/21  07:05:00,,,,12.42451219,4.433948307
 07/21  07:10:00,,,,12.39976683,4.378617601
 07/21  07:15:00,27.33707349,16.00530392,16,13.1998997,5.660853592
 07/21  07:22:30,,,,13.46750917,6.18842255
 07/21  07:30:00,27.62182349,16.00289454,16,12.02717941,3.930214524
 07/21  07:45:00,27.90657349,16.00128723,16,13.39786764,5.954471354
 07/21  07:52:30,,,,13.07226504,5.26012155
 07/21  08:00:00,28.19132349,16.00231576,16,12.61487679,4.55015794
 07/21  08:15:00,28.50957349,16.00145386,16,12.90091685,4.944384111
 07/21  08:30:00,28.82782349,16.00161497,16,12.73876266,4.684525655
 07/21  08:45:00,29.14607349,16.00142406,16,12.84066316,4.823950585
 07/21  09:00:00,29.46432349,16.00153588,16,12.78036603,4.726284538
 07/21  09:15:00,29.74907349,16.00137566,16,12.81860324,4.781366954
 07/21  09:30:00,30.03382349,16.00134074,16,12.79686793,4.753401427
 07/21  09:45:00,30.31857349,16.00126354,16,12.81018827,4.782311439
 07/21  10:00:00,30.60332349,16.00124325,16,12.80371771,4.789673961
 07/21  10:15:00,30.85457349,16.00121497,16,12.80646867,4.812116507
 07/21  10:30:00,31.10582349,16.0011981,16,12.80596521,4.837055606
 07/21  10:45:00,31.35707349,16.00120645,16,12.80007472,4.842701523
 07/21  11:00:00,31.60832349,16.00119207,16,12.8009508,4.855347497
 07/21  11:15:00,31.77582349,16.00121826,16,12.7955066,4.85233876
 07/21  11:30:00,31.94332349,16.00121821,16,12.79942454,4.864662029
 07/21  11:45:00,32.11082349,16.0012732,16,12.7927169,4.855324183
 07/21  12:00:00,32.27832349,16.00128461,16,12.79670345,4.860916129
 07/21  12:15:00,32.41232349,16.00130833,16,12.79442492,4.85523521
 07/21  12:30:00,32.54632349,16.00130034,16,12.80352146,4.87329769
 07/21  12:45:00,32.68032349,16.00135335,16,12.80454476,4.880297307
 07/21  13:00:00,32.81432349,16.00138002,16,12.80930233,4.895905476
 07/21  13:15:00,32.89807349,16.00141701,16,12.80762175,4.900053425
 07/21  13:30:00,32.98182349,16.00143996,16,12.80891904,4.907076505
 07/21  13:45:00,33.06557349,16.00145728,16,12.8088316,4.911826534
 07/21  13:52:30,,,,12.7951994,4.894454802
 07/21  14:00:00,33.14932349,16.00126362,16,12.80317848,4.906748301
 07/21  14:07:30,,,,13.55324158,6.395943573
 07/21  14:15:00,33.14932349,16.00411872,16,12.13465066,4.049994117
 07/21  14:30:00,33.14932349,16.02702179,16,13.59497491,6.395943573
 07/21  14:37:30,,,,13.23359422,5.586552843
 07/21  14:45:00,33.14932349,16.01262889,16,12.46748965,4.391240132
 07/21  15:00:00,33.14932349,16.07223586,16,13.68697813,6.395943573
 07/21  15:07:30,,,,13.2248133,5.490370204
 07/21  15:15:00,33.04882349,16.0294894,16,12.49059393,4.38065718
 07/21  15:30:00,32.94832349,16.06207704,16,13.67865184,6.395943573
 07/21  15:37:30,,,,13.23820555,5.529944956
 07/21  15:45:00,32.84782349,16.02574717,16,12.47167917,4.354367749
 07/21  16:00:00,32.74732349,16.03068704,16,13.6257058,6.395943573
 07/21  16:07:30,,,,13.24925353,5.599086547
 07/21  16:15:00,32.61332349,16.01393137,16,12.45192204,4.348791152
 07/21  16:30:00,32.47932349,16.00551048,16,13.03419824,5.226582867
 07/21  16:37:30,,,,12.92385447,5.056719004
 07/21  16:45:00,32.34532349,16.00323883,16,12.70924361,4.722414089
 07/21  17:00:00,32.21132349,16.00218534,16,12.85270371,4.947196559
 07/21  17:07:30,,,,12.84369082,4.91324378
 07/21  17:15:00,32.04382349,16.00172999,16,12.76971941,4.799920883
 07/21  17:30:00,31.87632349,16.00171536,16,12.78752208,4.804800974
 07/21  17:45:00,31.70882349,16.0017157,16,12.77546199,4.758789658
 07/21  18:00:00,31.54132349,16.0016738,16,12.77261141,4.709081677
 07/21  18:15:00,31.29007349,16.00167954,16,12.76418347,4.62314193
 07/21  18:30:00,31.03882349,16.00166409,16,12.74758786,4.475732022
